rarity,name,description,cat_id
Uber Super Rare,Ryu,Powerful fighter with excellent range and attack rate! Chance to deliver a Savage Blow (Area Attack),511
Uber Super Rare,Chun-Li,"Superior warrior with quick movement and rapid attacks! Attacks have a chance to Knockback Red, Black, and Aliens.",512
Uber Super Rare,Guile,"Solid defense, superior speed, plus Area Attacks! Extra tough vs Floating, with chance to Slow & Weaken enemies!",513
Uber Super Rare,Zangief,Super-tough brawler delivering big damage! Has a chance to avoid damage from Zombie attacks. Omnistrikes have Zombie Killer ability included!,514
Uber Super Rare,Balrog,"Only attacks, Zombie, Red, and Black enemies, but is a cost-effective and well-balanced hero! Plus, Area Attacks stop Zombie enemies from Reviving!",572
Uber Super Rare,Vega,"Effective Long-distance Area attacker with speedy movement. 100% Freeze versus Metal enemies, with chance of Critical!",573
Uber Super Rare,Sakura,A hero with tough defense and rapid Omnistrike attacks. Delivers massive damage to Traited enemies.,680
Uber Super Rare,Cammy,Low-cost unit with rapid attacks. Deals Insane damage to Aliens with area attacks and may Dodge their attacks in turn.,826
Legend Rare,Akuma,High-frequency long-range attacks! Insane area damage to Traitless enemies.,510
Super Rare,C. Honda,A rapid-fire Area attacker with might defense to boot! Extra tough versus Angel enemies.,576
Super Rare,Zangief Cat,Hero combining both powerful attacks and sturdy defense. Deals Massive damage to Floating with area attacks that have a chance to deal a Savage Blow.,828
Super Rare,Jamie Cat,"Long-range attack specialist with sturdy defense. Strong against Aku. Immune to Surge damage, with attack power strengthened as they take damage.",829
Rare,Balrog Cat,Cost-effective hero with a long attack range! Strong versus Black enemies.,577
Rare,Vega Cat,"Cost-effective hero with powerful attacks. Strong vs. Angel enemies, with immunity to Toxic!",578
Rare,Sagat Cat,"Cost-effective hero with rapid-fire attacks! Strong vs. Floating, with immunity to Wave damage!",579
Rare,M. Bison Cat,"A long-distance Area attack specialist hero! Tough vs. Aliens, with a small chance to break enemy Barriers.",580
