rarity,name,description,cat_id
Uber Super Rare,EVA Unit-00,A unit with high defense who's tough against Angel & Floating enemies. Negates Wave attacks (Area Attack),412
Uber Super Rare,EVA Unit-01,"High attack rate, with extra damage to Aliens & Zombies. Destroys barriers and delivers extra damage to enemies with Barriers, and stops Zombies from reviving upon death. Plus, grows stronger as more damage is taken. (Area Attack)",413
Uber Super Rare,Shinji Cat,"Massive Area Attack damage and superior defense! Attacks have a Wave effect, might knockback Black & Metal enemies.",415
Uber Super Rare,Night Oracle Rei,"Long-range area attack specialist, Tough vs Traited with 100% Slow. Might Surge Attack, with immunity to Wave Attacks.",547
Uber Super Rare,The 6th Angel,"Long-range Area specialist delivering massive damage attacks vs Floating that also Slows! Plus, 100% chance of Surge Attack.",549
Uber Super Rare,The 10th Angel,"Mighty attacker with an enormous attack range. Massive Omnistrike damage to Angels, with 100% Freeze and Surge Attack chance.",550
Uber Super Rare,Mass Production EVA,Low-cost unit with a quick deployment cooldown. May Freeze Traitless and Angels with Area Attacks. Immune to Waves.,814
Legend Rare,Moonshade Kaworu,"Hero combining both powerful attacks and sturdy defense. Deals increased damage to Sages with long-range area attacks while taking less damage from them and their debuffs, also nullifying their resistance to debuffs! Deals Insane damage and may Knockback Traitless. Immune to Waves and Explosions. Can Conjure a Spirit with a 100% chance to Weaken and Slow enemies! *When a hero Unit has the Conjurer trait, only one of that Unit may be deployed to the battlefield at any given time.",815
Super Rare,Rei Ayanami,Unit with superior attack power! Area attacks might weaken Angels' attack power.,409
Super Rare,Asuka Langley,Unit with superior defense and Area Attack! Extra strong versus Red enemies.,410
Super Rare,Misato Katsuragi,A well-balanced unit with reliable defense. Area Attacks have a chance to slow Aliens! Can destroy enemy Barriers and deliver big damage!,489
Rare,Rei Cat,Low-cost Unit with well-balanced abilities. Extra damage and excellent defense vs Angels.,406
Rare,Asuka Cat,Low-cost Unit with superior attack power. Extra damage and excellent defense vs Red.,407
Rare,Mari Cat,Low-cost Unit with superior attack range. Extra damage and excellent defense vs Floating.,408
Rare,Kaworu Cat,Low-cost unit with wide attack range. Massive damage and Tough defense vs Black enemies.,552
